Column1,Column2,Column3,Column4,Column5
eager,fort,cloth,enjoy,husband
step,smile,stock,behavior,model
ball,goose,specific,thread,upward
world,position,garden,familiar,hole
everywhere,into,doctor,saddle,above
mean,official,acres,pile,hurry
differ,yourself,never,join,enjoy
post,sudden,elephant,shoot,metal
shine,sister,planning,promised,develop
pot,longer,dear,sitting,gain
dozen,lot,every,several,wheel
remove,sent,example,tower,cowboy
supper,top,shore,trunk,this
flew,broken,north,different,swim
cotton,voice,sharp,she,atom
pleasure,gather,horse,aboard,business
memory,usual,work,daily,student
poem,certainly,sad,led,cabin
driven,fast,people,universe,goose
skin,report,route,buffalo,orbit
money,powder,can,gather,couple
camera,orange,guide,pocket,experiment
compass,child,truck,cook,before
bound,sick,fast,appropriate,deeply
history,yesterday,tropical,fort,chicken
advice,stronger,principle,tank,pound
sold,dish,spent,had,breathing
changing,term,week,prevent,potatoes
provide,stretch,contrast,shaking,tried
across,grabbed,cap,might,plenty
gas,riding,rain,exchange,continent
meant,hospital,fruit,grandfather,came
several,planning,yet,halfway,whenever
roar,provide,negative,ought,white
onto,for,full,cat,sister
studied,best,mean,are,would
stranger,create,imagine,upper,quarter
morning,getting,cent,village,locate
steep,pony,distance,anybody,once
safe,population,happen,are,fence
further,die,tool,control,inch
out,trouble,hollow,desk,farther
look,future,vast,mass,down
free,circus,act,missing,during
breeze,travel,city,made,after
except,lower,mainly,worth,table
chest,somewhere,soldier,frequently,lost
seeing,count,describe,food,interest
cent,why,mouse,ran,grass
whole,fellow,bring,party,late
himself,burst,headed,forward,paint
danger,column,snake,different,road
too,stronger,three,pair,dug
after,underline,ask,describe,nor
because,wood,rapidly,dish,stared
block,sang,noon,themselves,bell
people,get,pack,cool,root
thy,easier,pure,involved,circle
kept,grade,basic,act,jungle
small,through,mental,year,greatly
species,political,or,tower,harder
circus,arm,satisfied,closer,something
main,hollow,flame,know,interior
globe,simple,combine,heavy,saddle
position,steam,belt,vessels,congress
ship,kitchen,honor,unknown,section
said,parent,tin,importance,whenever
total,matter,national,carried,shallow
coffee,spin,press,business,lesson
theory,but,captured,building,attack
grade,noted,anybody,use,post
column,gold,hold,differ,six
phrase,bone,bend,appropriate,tomorrow
attack,gold,be,house,grandmother
wheat,dry,wealth,molecular,beauty
language,thank,supply,composition,under
thee,research,map,foreign,behind
throw,addition,clean,difference,lucky
weak,square,lift,upward,loss
sheep,met,fourth,stage,within
spent,itself,sell,what,raise
type,rhyme,fox,smaller,major
ourselves,want,scared,mostly,improve
fully,ants,range,strange,boat
according,wash,doll,block,far
browserling,lips,instead,duck,slept
girl,rich,stairs,grass,ever
hide,sink,top,out,bean
stronger,like,dish,eager,numeral
mark,correctly,degree,mice,hung
camera,mission,fill,ahead,yet
planet,bark,writer,skill,trip
dropped,printed,push,public,major
major,local,beneath,mail,art
save,guess,suggest,plate,strength
carefully,half,again,design,speed
write,shallow,bush,ourselves,law
parts,mother,skin,due,prove
join,date,beside,will,box
shut,older,largest,scientist,education
castle,city,yard,jungle,roar
volume,outer,whether,right,failed
notice,tropical,burn,safe,perfect
direct,pound,route,tight,inch
said,cool,process,slept,importance
solar,town,shelf,fierce,old
pan,explore,method,how,driven
eaten,spent,development,plastic,then
once,material,entirely,five,for
read,native,brush,remain,globe
everywhere,careful,these,hand,thumb
solve,balance,coast,halfway,put
ride,basis,taught,recall,neighborhood
happen,hot,managed,silly,act
blew,period,honor,attention,weak
you,enemy,stairs,studied,breeze
start,dull,independent,sang,upon
company,yourself,rubber,everywhere,shall
examine,rays,believed,expect,old
piano,down,smallest,except,lost
section,doubt,folks,ancient,throughout
light,sound,mind,construction,noise
able,wonderful,perfectly,situation,air
shine,speed,stopped,ready,too
smaller,near,classroom,wide,grandmother
sky,love,occasionally,private,belong
type,duty,gather,field,design
motor,behind,hole,easy,positive
cut,main,coming,floating,soon
late,suggest,gift,customs,society
automobile,generally,give,leader,column
former,might,union,law,white
point,sum,poem,ground,because
hang,front,cage,take,quietly
shallow,fire,begun,finest,hit
creature,live,held,had,knew
quiet,alive,born,draw,percent
eventually,period,solution,firm,physical
report,snake,series,massage,angry
dry,shall,explanation,widely,bent
bank,power,sit,moment,gave
classroom,various,brush,storm,farther
warm,journey,tiny,tribe,guess
except,activity,paid,jump,tightly
guess,force,stick,talk,school
cookies,upward,army,origin,quiet
remain,traffic,edge,does,examine
once,dish,liquid,tank,threw
telephone,raise,tune,kitchen,production
putting,nature,in,eat,tune
attempt,double,expect,themselves,amount
truth,farther,tears,calm,range
taste,essential,easy,explanation,carried
fierce,flower,heavy,universe,valuable
liquid,lie,give,steady,moment
hospital,settlers,gather,habit,disappear
second,general,river,complete,invented
cage,drawn,treated,character,history
what,use,first,managed,upper
condition,mistake,everything,game,bark
outline,youth,check,brave,motor
unless,shine,gun,capital,willing
strange,force,doctor,palace,citizen
motion,cold,sail,what,drew
here,product,mean,substance,window
pick,chosen,dirty,list,scene
bowl,made,instant,copy,younger
thee,glad,suppose,ball,lost
complete,paragraph,door,birthday,felt
design,everything,series,observe,jack
section,hundred,castle,get,negative
queen,already,yard,date,move
type,willing,stop,any,want
coal,dish,value,interior,will
because,oldest,sister,term,typical
unless,motor,declared,inside,member
produce,mad,change,parent,salt
deep,journey,become,us,orbit
solution,tie,jar,carbon,step
taken,offer,die,jet,result
tried,something,factor,victory,ever
fierce,layers,courage,crack,spoken
raise,mice,troops,straight,gone
tape,society,worried,fierce,duck
slide,will,hour,shake,among
down,coat,arrive,tired,fireplace
negative,hole,including,program,black
clean,vegetable,industry,new,won
tail,word,throw,just,fast
root,popular,principle,telephone,fighting
thirty,shall,husband,not,appearance
positive,thrown,station,rhythm,middle
most,them,manufacturing,space,therefore
behavior,substance,parent,dead,chicken
root,stepped,nor,model,impossible
common,together,unhappy,point,eager
nails,lie,our,recall,diagram
rising,enter,pupil,title,mail
amount,cover,hundred,music,her
western,path,motion,sitting,eleven
cent,member,partly,something,give
good,society,solution,without,courage
crack,subject,pipe,wire,future
particular,root,dance,evening,wide
team,view,sent,serve,street
prize,rod,height,whole,son
settle,feet,want,science,blue
manner,colony,land,welcome,dirty
realize,noise,pilot,pound,struck
wonder,plane,depth,transportation,whale
level,phrase,gain,original,partly
brick,somehow,if,spirit,dead
he,attention,if,split,speech
chain,neck,grown,shake,ran
break,please,ocean,paper,graph
river,eventually,planning,basket,type
design,figure,below,science,newspaper
empty,shake,has,including,monkey
pick,wheel,spread,danger,parts
exist,another,smell,neighborhood,butter
himself,game,brain,guide,break
salt,community,safety,why,brass
strip,wild,graph,adventure,due
top,supply,excitement,sure,be
dead,likely,month,when,parts
dull,stick,car,bet,across
fully,husband,flies,enjoy,fog
garden,produce,catch,noun,aside
belong,yesterday,new,beauty,bare
talk,thumb,wolf,deeply,signal
had,hunt,enough,iron,independent
child,provide,simplest,cloud,easily
trail,bit,married,refer,back
heading,avoid,cowboy,second,lay
slave,yourself,command,bush,string
naturally,shade,crew,luck,shop
count,furniture,recall,bag,neck
everywhere,meat,feature,disease,language
hope,disappear,water,becoming,through
stone,essential,cave,strength,hidden
mouth,dear,middle,exact,headed
pool,them,machine,greatly,form
verb,fallen,alike,policeman,local
anyone,laugh,black,afraid,brick
aboard,change,brown,fully,leader
hospital,film,species,thousand,equally
more,action,already,open,together
rice,drawn,use,cell,pig
right,wide,breath,mud,matter
unknown,win,spread,word,include
poor,underline,sea,vessels,fun
basis,rod,goes,dark,colony
struck,row,burst,unit,cover
dug,rose,younger,disease,tie
powder,single,someone,bicycle,thy
friend,where,introduced,dangerous,cook
hurry,layers,park,giving,dust
afternoon,arrow,involved,torn,development
tide,dried,chose,object,changing
word,long,belt,hurry,church
push,dear,anything,please,motion
composed,root,there,mix,ocean
increase,plate,seen,pie,bill
mice,thin,situation,develop,success
leaf,became,due,joy,animal
spoken,smoke,teach,musical,whispered
customs,musical,deal,gift,widely
mice,inch,establish,split,warn
every,move,characteristic,gulf,mountain
attention,quick,thing,tears,grow
bare,actual,medicine,onto,island
speak,nature,blue,verb,everyone
addition,influence,gentle,something,sight
test,whenever,wrapped,fort,rate
feature,across,stage,earth,suit
accurate,circus,cool,automobile,even
design,carried,horse,myself,nodded
call,fish,lady,simple,flies
natural,close,cover,block,ice
warn,low,human,team,according
tired,package,tube,simply,minute
wool,circle,news,example,division
avoid,desert,furniture,across,exchange
remain,symbol,stronger,held,plain
headed,pencil,factor,slightly,connected
mainly,bill,refused,fact,careful
oxygen,typical,frequently,beauty,leave
steel,voice,fireplace,determine,taught
record,quick,becoming,library,visitor
unknown,get,couple,north,here
advice,iron,common,read,gently
dollar,chest,yes,how,stuck
fact,beat,smallest,angle,fighting
slowly,joined,mile,atomic,include
successful,branch,pleasant,basket,yard
bit,foot,climb,making,salt
halfway,knife,building,purpose,gravity
struggle,age,current,child,his
became,cage,circle,meal,people
grain,me,involved,next,fifty
seems,body,globe,mighty,riding
smooth,business,strong,jungle,unless
rich,atmosphere,week,slipped,method
successful,necessary,nearly,silk,climate
who,work,tongue,sight,fire
possibly,evidence,path,climb,least
write,original,rise,national,pictured
powerful,wild,late,strong,got
represent,bell,musical,bare,its
think,pick,bare,plain,interest
making,machine,yard,pipe,hay
sing,enemy,thy,massage,camera
respect,thumb,hearing,two,while
series,dinner,valley,control,early
exciting,one,slowly,aside,this
pressure,mouse,press,sight,dollar
major,close,gravity,hit,nearer
wealth,strength,scientist,active,seems
pile,inside,toward,add,first
job,did,firm,score,underline
atmosphere,bill,dug,visitor,log
attempt,lesson,glad,grown,engine
kids,task,hurried,red,copy
create,greatly,certainly,end,good
aware,possible,heart,mostly,aside
sang,till,mother,lonely,night
are,check,join,most,cast
bit,select,plus,sets,will
disease,still,noon,serious,use
broke,supper,knife,bark,better
oldest,taste,blood,or,door
hot,road,leader,your,thus
oxygen,pond,contain,gently,knew
warm,leave,scientific,struck,transportation
brief,hot,cook,end,read
specific,till,double,line,magic
spin,failed,aid,whistle,cell
area,language,using,cow,forest
mainly,tell,avoid,him,mouse
introduced,report,ruler,cover,breath
greater,strike,tribe,within,shoe
rod,key,daughter,discussion,mighty
crack,egg,setting,whom,cowboy
audience,another,wise,band,sharp
simplest,leaving,modern,sold,fat
danger,being,notice,return,horse
remarkable,next,moment,shore,he
origin,aside,during,nine,involved
college,consonant,threw,pipe,different
duck,image,differ,college,serious
meat,should,with,layers,round
answer,whose,combine,essential,escape
property,community,block,nearer,quietly
pipe,circle,boy,dig,pure
return,our,important,tried,layers
plus,greatest,worried,bicycle,angle
breathe,addition,force,discussion,stiff
want,pure,careful,show,eye
power,cat,property,bell,five
flew,properly,general,pride,cutting
characteristic,experience,grew,all,accept
become,once,struck,mathematics,community
distance,compound,bet,supply,forth
first,buried,usually,industrial,please
bean,court,double,is,held
adventure,point,opposite,had,sky
strange,respect,calm,mighty,improve
page,tax,specific,cat,person
lose,stock,nothing,doll,somehow
white,quiet,heading,usual,shown
safe,steam,tail,extra,matter
series,native,shelf,word,vessels
seven,refer,dance,hurt,while
huge,broke,poem,single,action
correct,fish,correct,end,single
hat,require,science,aid,hollow
wheat,main,magic,graph,forget
thick,division,hurt,said,broad
toward,grade,lamp,labor,wrong
cabin,noon,effect,thick,stomach
difficulty,man,breakfast,pool,chance
natural,shut,lot,cost,obtain
pain,topic,crowd,nails,scared
star,broke,hot,onto,wrong
word,use,burn,second,bound
gradually,earlier,to,its,plates
fell,valuable,western,afraid,individual
crew,mile,success,catch,inch
escape,broad,who,activity,property
rays,book,push,passage,bright
paint,began,sing,word,breath
swung,football,feature,like,musical
refused,green,indicate,plan,transportation
stepped,pen,while,fell,only
excitement,prepare,beyond,your,court
tent,plate,simple,especially,meet
cake,tea,eventually,unit,record
event,speech,harbor,judge,game
population,flies,fact,crop,move
gulf,write,listen,discovery,support
everyone,eager,wrote,belt,manner
event,minerals,speak,neck,like
ought,couple,equally,meant,slave
moon,rather,with,third,what
bush,frighten,perhaps,bit,skill
what,when,mother,nervous,paid
nearly,younger,swim,support,rate
hundred,space,nearby,donkey,dog
kept,sheep,willing,meat,threw
substance,soil,regular,bag,place
bottom,farmer,early,harder,what
laid,drove,who,equal,dull
hunter,can,creature,wet,buried
sweet,sides,hall,noun,energy
supply,ahead,border,short,desk
worth,separate,something,feathers,still
observe,accept,definition,horn,title
area,scared,chart,log,rhyme
natural,official,powerful,amount,full
captain,bag,handle,deep,place
radio,coat,lack,labor,fine
mine,band,spell,more,leader
fly,fresh,like,suggest,giving
purple,trouble,has,swing,term
kitchen,tea,aware,voice,diagram
block,furniture,thirty,myself,source
child,trace,machine,lake,spin
lake,heard,completely,several,ruler
breakfast,wet,dinner,sad,camera
fairly,unknown,settlers,leader,act
black,corn,sheep,difficult,frighten
practical,rapidly,sit,too,age
congress,light,newspaper,contrast,beat
load,design,dropped,tip,bush
hole,tax,dress,alike,mix
clothing,judge,underline,few,stairs
ants,fur,shut,examine,deep
fought,appropriate,horn,shine,swept
traffic,simple,coffee,iron,else
nervous,done,accept,blanket,changing
merely,child,support,report,rubber
useful,discovery,solve,stuck,shore
expression,concerned,correctly,lonely,usually
pot,dollar,joy,becoming,dropped
rocky,aid,shoot,mission,note
building,torn,journey,surface,you
cast,taught,molecular,moment,page
through,identity,unless,six,statement
satellites,gold,map,person,customs
free,pleasant,north,introduced,rice
future,automobile,flat,fewer,mistake
distance,must,pile,raise,asleep
drink,pen,war,from,gate
expect,wild,scared,sight,copper
pitch,trace,pitch,are,rapidly
house,call,voyage,verb,tube
explanation,five,catch,account,force
telephone,tonight,two,hungry,wooden
principal,subject,produce,sum,threw
verb,engine,group,exercise,positive
anywhere,recall,tongue,upon,frame
shut,shoe,collect,remarkable,union
village,perfectly,former,voice,aboard
page,simplest,card,slowly,cook
from,try,wide,angry,treated
knowledge,today,test,voice,history
harder,gone,closer,object,slope
cow,science,palace,sell,gave
cutting,atomic,circle,onto,cake
four,excellent,wood,establish,should
examine,equal,funny,owner,dropped
friendly,string,mission,place,hidden
favorite,number,black,today,entirely
product,right,hunt,empty,brown
buy,heard,fuel,bread,surface
likely,military,away,refer,properly
across,girl,curious,necessary,tune
writing,silk,cattle,you,show
ordinary,birthday,grade,life,ship
known,chose,operation,with,middle
whispered,wheel,lot,village,flow
tank,expression,bus,fine,finally
other,brought,possibly,maybe,snow
sing,purple,pink,each,spring
help,circus,badly,climate,shoot
have,eventually,welcome,apart,alive
rope,silent,moving,fifth,are
on,smaller,satellites,opposite,pan
written,welcome,older,space,win
branch,men,like,neighbor,search
blanket,slabs,state,fresh,ice
particles,answer,husband,into,my
jump,flag,solution,spend,up
exciting,ancient,newspaper,actual,compound
of,slope,easily,outer,store
try,if,shine,circus,weight
thought,nervous,west,play,question
am,softly,nearly,mighty,frequently
arrow,age,young,realize,pet
shells,lie,welcome,drew,upper
rush,paragraph,individual,railroad,temperature
method,tears,do,thy,ill
iron,condition,garden,sister,broad
held,nails,pupil,mirror,muscle
taught,explanation,whether,recognize,balloon
room,officer,as,colony,colony
find,won,tube,simple,dark
wash,catch,recently,involved,met
brother,joy,offer,neck,down
mighty,safety,another,out,exclaimed
smoke,began,alphabet,president,thus
zero,against,drawn,proud,typical
bent,fair,boat,strong,rule
themselves,volume,busy,soap,moving
pattern,movement,pale,thing,its
massage,political,loss,port,seven
writing,settlers,one,behavior,vapor
treated,beauty,swing,moment,paragraph
nearby,dropped,wrapped,wrong,position
structure,manner,feel,hospital,slipped
palace,wing,rays,tonight,seems
get,jump,applied,pain,aside
sold,live,tank,slave,exciting
bare,got,breathe,office,touch
railroad,native,introduced,progress,under
walk,card,lion,vowel,settlers
doing,poetry,afternoon,sing,wooden
struggle,over,farther,torn,neighbor
animal,replace,stopped,solution,such
quietly,industry,grow,soon,world
rise,outer,silence,neighbor,author
leaving,loose,make,saw,angle
fastened,arrive,evidence,idea,win
union,plate,browserling,tired,plastic
grass,exist,substance,whose,been
man,but,card,bank,good
war,generally,actual,stretch,pictured
star,soldier,whom,force,trick
pound,good,doctor,region,smooth
within,blow,think,shape,select
fire,typical,nervous,tight,please
gather,central,brown,sitting,carry
fuel,by,shells,buffalo,selection
right,oil,still,driving,lamp
thought,military,sing,blood,stems
silent,suddenly,blue,practical,aid
some,key,one,necessary,minute
jar,eat,saddle,now,bite
offer,stared,nor,push,composition
frighten,article,three,mostly,toy
show,not,burn,old,built
baseball,reach,escape,later,brain
medicine,apartment,national,further,without
wood,minute,dozen,struggle,am
fighting,spent,task,progress,goes
printed,party,likely,prepare,crowd
heavy,hide,leaf,halfway,unhappy
supper,particular,firm,yesterday,take
best,wrapped,sat,no,camera
join,properly,think,very,choose
shape,when,tune,brick,putting
coast,blue,whispered,climb,may
straw,went,any,movement,original
getting,respect,down,entirely,decide
bottom,uncle,swam,sea,drew
each,seems,trip,several,court
bee,become,together,plates,dot
sail,rhyme,basic,actual,sick
record,forget,stuck,needs,basic
whom,seed,what,fifty,pole
yet,danger,south,sentence,health
opposite,start,headed,various,suppose
knew,religious,globe,river,walk
person,lips,best,gradually,mass
quick,properly,mathematics,stick,huge
salt,wolf,lot,suppose,unhappy
nine,wear,story,wheat,voyage
twenty,farmer,friend,simple,vertical
attached,apart,income,community,independent
supper,active,avoid,clothing,beneath
jar,attempt,phrase,stood,driving
load,pan,blue,room,piece
meal,studying,coming,guess,leg
decide,differ,pretty,religious,store
perfectly,ill,skin,evidence,shape
safety,daughter,selection,west,shine
method,tight,scale,society,yes
but,magic,purple,earn,race
train,now,highway,origin,square
title,command,community,enjoy,men
load,will,mood,small,row
hair,shelf,breeze,garden,camera
satellites,circus,part,become,worth
select,frozen,we,grew,roar
coal,sing,across,variety,establish
post,cost,idea,thou,theory
visit,us,suppose,gas,snow
broad,afternoon,exact,mysterious,replied
lesson,supper,now,muscle,hold
draw,zero,same,shop,audience
measure,decide,strike,beautiful,follow
pull,income,tower,did,outer
were,observe,grow,visit,deer
silly,whose,maybe,sell,replied
forth,occur,active,test,private
cotton,feed,stock,wheel,animal
two,farmer,in,leg,born
end,upward,saved,beyond,refused
cross,above,solution,special,sum
bent,hidden,tightly,require,show
plain,essential,can,depend,neighborhood
nervous,paid,shinning,rose,browserling
search,basket,properly,sand,valuable
room,motor,twelve,within,instead
location,effort,her,place,shall
letter,other,disease,asleep,solution
rule,seven,news,care,either
spin,hungry,habit,thank,period
trip,variety,tail,circle,pay
making,stomach,see,pig,meet
learn,history,possibly,personal,over
science,ever,nodded,meal,lady
block,stone,easier,inside,had
represent,plus,both,teacher,moon
sang,swim,fought,fact,border
pretty,potatoes,ready,combination,great
settle,feel,police,test,dish
special,longer,brass,why,broken
blank,type,he,appropriate,size
longer,saved,why,put,advice
equal,light,everything,came,day
notice,forth,easily,arrow,yard
indeed,ranch,eye,also,naturally
ring,breakfast,event,loss,numeral
continued,water,bridge,speed,has
stretch,than,complex,yourself,against
grandfather,stand,greatest,tomorrow,said
quick,far,applied,like,serious
apart,paint,add,browserling,swimming
forest,log,wild,any,meant
became,slow,tone,worth,spin
desert,higher,duck,writer,phrase
arrange,drive,lying,bottle,met
shadow,mix,ranch,report,about
mother,scientist,half,space,dream
halfway,roll,gravity,wheel,potatoes
musical,within,poem,former,daily
world,slight,paid,suppose,shelf
open,sale,coast,some,feature
yard,open,contain,coach,together
am,safe,fence,also,reader
variety,sheet,feet,still,sit
food,tears,month,job,discussion
chair,wherever,sport,repeat,test
evidence,blanket,hold,coffee,dead
element,attack,around,shinning,plan
pan,brought,job,five,birds
fighting,foot,scientific,environment,bicycle
herself,cotton,everywhere,shine,birthday
freedom,whispered,straw,blind,blind
song,shout,safety,bear,taken
other,flame,total,me,soon
serious,knew,perhaps,hunter,education
else,travel,lift,mud,structure
tie,mirror,mind,great,balloon
atomic,number,hope,leg,summer
cool,track,fifteen,sign,winter
voice,new,engineer,underline,belt
outer,wait,title,crop,church
nor,also,hollow,deeply,attached
beautiful,eaten,station,likely,pink
answer,night,view,air,paid
against,plain,important,just,happened
teacher,six,pack,express,breath
even,period,atomic,clock,when
separate,thou,native,talk,enemy
fur,drink,meet,stuck,mix
steam,curve,daily,twenty,silent
jet,toward,entire,they,morning
city,somebody,wrong,product,silver
row,carefully,medicine,bit,through
present,vast,purpose,firm,each
movement,teacher,with,putting,follow
snake,force,yellow,canal,age
vessels,degree,mighty,border,topic
food,wheat,orange,reader,away
until,safety,support,wish,police
vapor,early,her,sand,soft
movement,corner,said,recently,distant
quiet,land,north,couple,related
why,twice,popular,grain,how
duck,dinner,thou,result,army
group,spread,pay,war,know
important,massage,feathers,window,concerned
ruler,would,break,state,spell
strange,lack,but,like,tomorrow
shot,closer,slave,closer,climb
instead,pink,sentence,gift,meant
breath,avoid,kill,goes,winter
silly,gulf,increase,laugh,blank
lie,ride,liquid,unit,solar
symbol,classroom,swung,fell,create
corner,original,basket,are,answer
show,information,row,kill,means
event,heat,introduced,duck,fewer
measure,various,spell,dot,repeat
simple,chamber,western,elephant,prove
year,globe,whole,positive,perfect
wood,closely,popular,prove,dirt
furniture,barn,our,composed,seen
serve,finish,bone,having,giving
fox,son,instant,empty,frozen
love,brave,perfectly,easily,new
habit,leaf,element,change,include
